benchmark,time,runs,noReload,workers,isolation,sites,items,ops,schema,simulatedSites,operation,rt,tps,ct,ar,rtP95
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,write,0.001680,448.859,10773,0.000000,0.002913
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,currTime,0.000283,448.067,10754,0.000000,0.000613
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,readKey,0.000255,451.150,10828,0.000000,0.000604
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,total,0.000739,1348.077,32355,0.000000,0.002626
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,write,0.001824,389.201,9341,0.000000,0.002984
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,currTime,0.000380,393.451,9443,0.000000,0.000693
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,total,0.000848,1174.229,28182,0.000000,0.002728
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,readKey,0.000349,391.576,9398,0.000000,0.000685
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,total,0.000898,1109.480,26628,0.000000,0.002690
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,write,0.001779,366.243,8790,0.000000,0.002964
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,currTime,0.000489,370.993,8904,0.000000,0.000813
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,readKey,0.000438,372.243,8934,0.000000,0.000788
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,total,0.001169,852.830,20468,0.000000,0.002606
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,write,0.001732,283.999,6816,0.000000,0.002868
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,currTime,0.000587,283.832,6812,0.000000,0.000891
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,readKey,0.001188,284.999,6840,0.000000,0.001589
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,write,0.001804,254.071,6098,0.000000,0.003022
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,total,0.001328,750.840,18021,0.000000,0.002728
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,currTime,0.000709,250.905,6022,0.000000,0.001035
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,readKey,0.001468,245.864,5901,0.000000,0.001875
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,readKey,0.001927,217.041,5209,0.000000,0.002341
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,write,0.001883,209.875,5037,0.000000,0.003109
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,currTime,0.000826,223.208,5357,0.000000,0.001151
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,total,0.001535,650.124,15603,0.000000,0.002789
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,readKey,0.002437,186.368,4473,0.000000,0.002811
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,total,0.001781,560.439,13451,0.000000,0.002878
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,write,0.001967,182.160,4372,0.000000,0.003128
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,currTime,0.000967,191.910,4606,0.000000,0.001287
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,readKey,0.003795,142.207,3413,0.000000,0.004365
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,total,0.002369,421.496,10116,0.000000,0.004126
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,write,0.002166,140.999,3384,0.000000,0.003427
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,currTime,0.001109,138.291,3319,0.000000,0.001395
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,write,0.002132,135.038,3241,0.000000,0.003339
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,currTime,0.001208,134.663,3232,0.000000,0.001502
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,readKey,0.003987,137.413,3298,0.000000,0.004485
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,total,0.002452,407.115,9771,0.000000,0.004300
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,write,0.001713,466.841,11205,0.000000,0.002862
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,currTime,0.000198,472.299,11336,0.000000,0.000508
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,total,0.000703,1416.812,34006,0.000000,0.002624
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,readKey,0.000215,477.673,11465,0.000000,0.000531
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,write,0.001731,449.999,10800,0.000000,0.002808
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,total,0.000746,1335.705,32057,0.000000,0.002587
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,currTime,0.000219,444.582,10670,0.000000,0.000518
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,readKey,0.000272,441.124,10587,0.000000,0.000586
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,total,0.000727,1370.323,32888,0.000000,0.002503
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,readKey,0.000294,458.205,10997,0.000000,0.000608
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,write,0.001675,453.663,10888,0.000000,0.002731
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,currTime,0.000222,458.455,11003,0.000000,0.000514
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,6,total,0.000737,1350.890,32422,0.000000,0.002474
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,6,write,0.001662,447.825,10748,0.000000,0.002708
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,6,currTime,0.000228,456.699,10961,0.000000,0.000521
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,6,readKey,0.000331,446.366,10713,0.000000,0.000635
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,8,write,0.001680,430.816,10340,0.000000,0.002721
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,8,currTime,0.000242,424.733,10194,0.000000,0.000530
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,8,readKey,0.000394,430.774,10339,0.000000,0.000705
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,8,total,0.000775,1286.322,30873,0.000000,0.002488
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,10,total,0.000810,1229.879,29518,0.000000,0.002492
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,10,currTime,0.000236,413.196,9917,0.000000,0.000549
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,10,readKey,0.000541,406.904,9766,0.000000,0.000873
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,10,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,10,write,0.001656,409.779,9835,0.000000,0.002744
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,12,total,0.000842,1183.661,28409,0.000000,0.002501
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,12,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,12,write,0.001666,392.484,9420,0.000000,0.002748
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,12,currTime,0.000238,395.359,9489,0.000000,0.000549
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,12,readKey,0.000628,395.817,9500,0.000000,0.000957
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,14,readKey,0.000626,364.957,8759,0.000000,0.000937
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,14,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,14,write,0.001786,370.123,8883,0.000000,0.002796
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,14,currTime,0.000296,362.040,8689,0.000000,0.000586
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,14,total,0.000908,1097.120,26331,0.000000,0.002586
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,16,readKey,0.000882,326.406,7834,0.000000,0.001217
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,16,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,16,write,0.001859,325.197,7805,0.000000,0.002889
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,16,currTime,0.000324,323.031,7753,0.000000,0.000622
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,16,total,0.001023,974.634,23392,0.000000,0.002666
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,1,write,0.001552,526.941,12647,0.000000,0.002751
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,1,currTime,0.000156,519.858,12477,0.000000,0.000488
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,1,total,0.000627,1587.114,38092,0.000000,0.002424
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,1,readKey,0.000179,540.316,12968,0.000000,0.000504
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,2,readKey,0.000252,478.892,11494,0.000000,0.000592
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,2,total,0.000695,1433.801,34413,0.000000,0.002548
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,2,write,0.001637,478.142,11476,0.000000,0.002821
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,2,currTime,0.000194,476.767,11443,0.000000,0.000515
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,4,write,0.001828,411.317,9872,0.000000,0.002871
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,4,currTime,0.000256,404.484,9708,0.000000,0.000552
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,4,readKey,0.000343,408.733,9810,0.000000,0.000654
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,4,total,0.000813,1224.534,29390,0.000000,0.002678
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,6,total,0.000789,1262.955,30311,0.000000,0.002595
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,6,write,0.001720,420.499,10092,0.000000,0.002852
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,6,currTime,0.000244,422.041,10129,0.000000,0.000562
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,6,readKey,0.000405,420.416,10090,0.000000,0.000731
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,8,currTime,0.000273,380.089,9123,0.000000,0.000598
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,8,readKey,0.000499,387.130,9292,0.000000,0.000854
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,8,total,0.000863,1154.058,27700,0.000000,0.002731
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,8,write,0.001807,386.839,9285,0.000000,0.002974
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,10,readKey,0.000687,364.435,8747,0.000000,0.001030
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,10,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,10,write,0.001791,360.060,8642,0.000000,0.002913
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,10,currTime,0.000278,364.060,8738,0.000000,0.000603
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,10,total,0.000916,1088.555,26127,0.000000,0.002682
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,12,currTime,0.000283,347.457,8339,0.000000,0.000625
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,12,readKey,0.000821,347.832,8348,0.000000,0.001192
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,12,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,12,write,0.001790,342.332,8216,0.000000,0.002975
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,12,total,0.000961,1037.622,24903,0.000000,0.002709
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,14,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,14,write,0.001851,320.243,7686,0.000000,0.002976
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,14,total,0.001060,940.103,22563,0.000000,0.002736
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,14,currTime,0.000330,308.618,7407,0.000000,0.000653
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,14,readKey,0.000971,311.243,7470,0.000000,0.001325
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,16,write,0.001925,286.062,6866,0.000000,0.003011
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,16,currTime,0.000347,282.729,6786,0.000000,0.000660
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,16,readKey,0.001229,283.313,6800,0.000000,0.001575
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,16,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,16,total,0.001170,852.104,20452,0.000000,0.002757
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,1,total,0.000775,1285.195,30846,0.000000,0.002678
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,1,currTime,0.000329,430.940,10343,0.000000,0.000644
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,1,readKey,0.000241,433.231,10398,0.000000,0.000552
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,1,write,0.001781,421.023,10105,0.000000,0.002905
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,2,currTime,0.000354,405.776,9739,0.000000,0.000664
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,2,total,0.000818,1218.036,29234,0.000000,0.002704
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,2,readKey,0.000279,407.109,9771,0.000000,0.000588
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,2,write,0.001824,405.151,9724,0.000000,0.002923
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,4,write,0.001912,372.340,8937,0.000000,0.003005
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,4,currTime,0.000417,376.423,9035,0.000000,0.000732
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,4,readKey,0.000348,365.508,8773,0.000000,0.000670
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,4,total,0.000894,1114.272,26745,0.000000,0.002780
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,6,currTime,0.000420,390.651,9376,0.000000,0.000725
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,6,readKey,0.000375,393.318,9440,0.000000,0.000695
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,6,total,0.000851,1170.787,28100,0.000000,0.002654
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,6,write,0.001770,386.818,9284,0.000000,0.002892
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,8,total,0.000923,1079.158,25900,0.000000,0.002739
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,8,readKey,0.000424,357.247,8574,0.000000,0.000760
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,8,write,0.001847,364.372,8745,0.000000,0.002960
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,8,currTime,0.000481,357.539,8581,0.000000,0.000803
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,10,currTime,0.000506,367.246,8814,0.000000,0.000804
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,10,total,0.000906,1099.238,26382,0.000000,0.002675
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,10,readKey,0.000447,371.538,8917,0.000000,0.000767
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,10,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,10,write,0.001788,360.454,8651,0.000000,0.002906
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,12,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,12,total,0.000958,1040.096,24963,0.000000,0.002658
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,12,write,0.001764,345.615,8295,0.000000,0.002922
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,12,currTime,0.000513,345.574,8294,0.000000,0.000823
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,12,readKey,0.000601,348.907,8374,0.000000,0.000930
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,14,currTime,0.000560,326.660,7840,0.000000,0.000868
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,14,readKey,0.000705,321.494,7716,0.000000,0.001046
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,14,total,0.001023,974.523,23389,0.000000,0.002715
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,14,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,14,write,0.001799,326.369,7833,0.000000,0.002959
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,16,currTime,0.000592,316.184,7589,0.000000,0.000905
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,16,total,0.001079,923.803,22173,0.000000,0.002733
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,16,readKey,0.000809,299.893,7198,0.000000,0.001142
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,16,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,16,write,0.001843,307.726,7386,0.000000,0.002967
